OS Version: Unix 4.19.128.0;;;;;;;;
CLR Version: 5.0.0;;;;;;;;
Processor Count: 4;;;;;;;;
;;;;;;;;
Statistics        Avg      Stdev        Max;;;;;;;;
  Reqs/sec      9506.12    1299.34   13762.77;;;;;;;;
  Latency       10.52ms     1.33ms   128.53ms;;;;;;;;
  Latency Distribution;;;;;;;;
     50%    10.00ms;;;;;;;;
     75%    12.00ms;;;;;;;;
     90%    14.52ms;;;;;;;;
     95%    16.04ms;;;;;;;;
     99%    22.00ms;;;;;;;;
  HTTP codes:;;;;;;;;
    1xx - 0, 2xx - 617872, 3xx - 0, 4xx - 0, 5xx - 0;;;;;;;;
    others - 0;;;;;;;;
  Throughput:     9.24MB/s;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
TS (ms);CPU time (ms);Private Mem (B);Working Set (B);Allocated Mem (B);Gen0 collections;Gen1 collections;Gen2 collections;ThreadPool size
-2147483648;2140;220864512;141103104;6784112;1;0;0;4
500;980;259502080;180109312;31334488;2;1;0;4
1007;2050;421294080;192303104;14043856;4;2;1;4
1510;3060;420691968;191754240;13236776;9;2;1;4
2011;3919;418406400;189423616;13296040;15;3;1;19
2514;4730;416727040;187748352;19561952;21;3;1;12
3019;5550;416505856;187527168;24504912;27;3;1;19
3532;6399;416477184;187494400;9986360;34;3;1;15
4036;7250;416477184;187494400;13554888;40;3;1;9
4539;8080;416477184;187494400;11111144;46;3;1;13
5040;8930;416477184;187494400;15695456;52;3;1;2
5543;9750;416477184;187494400;12026160;59;3;1;4
6044;10590;416477184;187494400;17144320;65;3;1;4
6546;11380;416477184;187494400;23559776;71;3;1;4
7048;12220;416477184;186363904;25626928;77;3;1;15
7550;13020;416477184;186363904;19379488;84;3;1;5
8053;13820;416477184;186363904;23567880;90;3;1;13
8555;14670;416477184;186363904;27951168;96;3;1;14
9057;15480;416477184;186363904;12588680;103;3;1;0
9559;16280;416477184;186363904;22212984;109;3;1;4
10060;17070;416477184;186363904;25742160;115;3;1;0
10561;17870;416477184;186363904;12386400;122;3;1;13
11063;18670;416477184;186363904;21141808;128;3;1;4
11565;19450;416497664;186621952;23010600;134;3;1;1
12066;20270;416735232;187154432;11518152;141;3;1;12
12571;21090;416735232;187154432;21739392;147;3;1;12
13075;21939;416772096;187338752;11102768;154;3;1;11
13577;22730;417837056;188407808;12663776;160;3;1;11
14079;23570;417837056;188407808;12550464;166;3;1;4
14580;24349;417837056;188407808;17528488;172;3;1;4
15082;25160;417837056;188407808;25940952;178;3;1;4
15585;25930;417837056;188407808;12933056;185;3;1;4
16086;26740;417837056;188407808;17836136;191;3;1;6
16588;27520;417837056;188407808;24050560;197;3;1;4
17093;28350;417837056;188407808;15771680;204;3;1;10
17597;29170;417837056;188407808;26024808;210;3;1;9
18098;30000;417837056;188407808;20514800;217;3;1;4
18601;30839;417837056;188407808;26183664;223;3;1;4
19106;31620;417837056;188407808;23163408;230;3;1;4
19613;32430;417837056;188407808;15018544;237;3;1;4
20115;33200;417837056;188407808;25888168;243;3;1;4
20617;33990;417837056;188407808;19412400;250;3;1;4
21118;34790;417824768;186396672;10407688;257;3;1;7
21621;35589;417812480;186609664;19520048;263;3;1;4
22122;36390;417800192;186617856;25620088;269;3;1;8
22630;37190;417787904;186703872;15678376;276;3;1;4
23132;37990;417787904;186703872;14627336;283;3;1;4
23640;38810;417787904;186703872;23071984;289;3;1;2
24141;39589;409387008;186859520;14722424;296;3;1;3
24644;40370;400986112;186974208;17531872;302;3;1;4
25145;41150;392585216;187183104;26337424;308;3;1;7
25648;41920;392585216;187183104;16901344;315;3;1;4
26150;42730;392585216;187183104;10570968;322;3;1;7
26655;43560;384184320;187363328;13436168;328;3;1;4
27158;44300;384184320;187363328;27750120;334;3;1;4
27662;45110;375783424;187576320;17454584;341;3;1;4
28165;45880;375783424;187576320;10512816;348;3;1;6
28670;46690;375783424;187576320;21878240;354;3;1;4
29175;47490;375783424;187576320;24346888;360;3;1;6
29676;48230;367382528;187584512;13768936;367;3;1;4
30179;49030;367382528;187584512;18393960;373;3;1;4
30681;49790;367382528;187584512;12151784;380;3;1;4
31182;50560;358981632;187641856;27647600;386;3;1;6
31683;51360;358981632;187641856;18085384;393;3;1;4
32185;52190;358981632;187641856;12490048;399;3;1;4
32689;52970;350580736;187817984;12437624;406;3;1;4
33194;53790;350580736;187817984;17317696;412;3;1;6
33702;54630;350580736;187817984;24551240;418;3;1;0
34203;55430;350580736;187817984;13490640;425;3;1;6
34705;56170;342179840;187863040;11263064;432;3;1;6
35211;56970;342179840;187863040;18070840;438;3;1;4
35712;57780;342179840;187863040;20605528;444;3;1;6
36216;58570;342179840;187863040;14304744;451;3;1;4
36717;59340;342179840;187863040;24820416;457;3;1;5
37225;60140;333778944;187838464;17594856;464;3;1;5
37727;60930;333778944;187838464;25069336;470;3;1;2
38229;61730;333778944;187838464;11697712;477;3;1;5
38733;62520;333778944;187838464;18493328;483;3;1;4
39237;63340;333778944;187838464;27887456;489;3;1;1
39741;64130;333778944;187838464;16556312;496;3;1;5
40242;64920;325378048;187805696;24428224;502;3;1;4
40745;65740;325378048;187805696;14585920;509;3;1;4
41248;66520;325378048;187805696;27263728;515;3;1;4
41750;67310;325378048;187805696;19266480;522;3;1;4
42251;68120;325378048;187805696;14678928;529;3;1;4
42753;68910;325378048;187805696;12539592;536;3;1;4
43255;69700;316977152;187817984;23403920;542;3;1;5
43757;70510;316977152;187817984;15410808;549;3;1;5
44259;71319;316977152;187817984;20263624;555;3;1;4
44761;72100;316977152;187817984;24650496;561;3;1;4
45262;72890;316977152;187817984;20871888;567;3;1;4
45763;73650;316977152;187817984;18081664;574;3;1;5
46264;74429;316977152;187817984;12558264;581;3;1;5
46767;75210;316977152;187817984;17680856;588;3;1;4
47268;75990;316977152;187817984;14685392;595;3;1;5
